person_id,label,mean_x,mean_y,std_x,std_y,gaze_entropy,max_distance,avg_distance,avg_speed,total_movement,fixation_count,saccade_count,skew_x,skew_y,kurt_x,kurt_y,gaze_concentration,central_proportion,transition_frequency,silhouette_score,stability_ratio,direction_entropy,gaze_reversion_frequency
person_15,scripted,26.710280373831775,33.51401869158879,1.9300713027359533,1.4897429684846757,6.904859099757937,10.04987562112089,5.757272138659575,0.9501349919151139,304.04319741283643,276,2,0.5131940603362238,-0.7911640661937259,1.0531867173786473,-0.42807597276159415,0.1557632398753894,1.0,1,0.42661158852129555,0.8598130841121495,1.6377154786221055,320.0
person_15,spontaneous,25.656976744186046,30.463178294573645,3.036440456851049,5.8903080486469594,7.378804693455965,38.8329756778952,7.151997615931145,3.0360683613694412,1563.5752061052622,451,40,-2.362960099968694,-4.739034957435011,10.101262858616908,21.173223021726205,0.10271317829457365,0.9631782945736435,37,0.5671259081530945,0.874031007751938,1.5353492390025953,12.945945945945946
person_16,scripted,36.06549520766773,25.16773162939297,0.9849383302405267,6.565045398644398,7.105950830592485,32.89376840679705,9.624915989840632,2.2062435329509453,1378.902208094341,580,39,4.695268304808601,5.271187843171161,34.85006982399592,26.37925511862504,0.051118210862619806,0.9696485623003195,5,0.968322528956804,0.9265175718849841,0.7192304431038864,124.2
person_16,spontaneous,15.716012084592146,45.19335347432024,15.253896759142023,19.070615700561913,7.152783159485072,44.553338819890925,27.489756987494722,9.239352709662047,9165.43788798475,577,172,0.23604384548570714,-0.25434099759855516,-1.8907220649474095,-1.9229573613034396,0.04934541792547835,0.43605236656596175,170,0.6662771818746696,0.581067472306143,2.0586064827987838,4.841176470588235
person_17,scripted,31.6046511627907,26.11046511627907,1.9662596650960003,2.217555108581233,6.583933300609104,17.08800749063506,6.397013146410319,1.3934395411804872,238.2781615418633,133,5,-0.14755860775771304,5.652668738970193,0.07475058775636256,53.31475489050842,0.2558139534883721,0.9941860465116279,1,0.30193351271567087,0.7732558139534884,1.8354489702136796,171.0
person_17,spontaneous,31.52882703777336,33.70576540755467,1.9255733393366032,2.8440380361787105,6.517468932519939,13.892443989449804,3.2420871812916516,1.415752511304245,710.707760674731,345,12,-2.001179586439345,0.07220415865501284,8.718768459766743,-0.9324043908468411,0.15705765407554673,1.0,3,0.5379542919322043,0.6858846918489065,1.9655784687549345,166.66666666666666
person_18,scripted,28.64177489177489,32.3051948051948,15.465770665735759,12.407226036676104,6.799200031510549,45.254833995939045,15.28604925258512,8.370146167965952,7725.644913032575,362,316,0.38103689253962925,1.1575219671777786,0.3467371978612168,1.2738373250336386,0.44372294372294374,0.6287878787878788,136,0.5405411456709046,0.3917748917748918,2.2427988623084367,5.794117647058823
person_18,spontaneous,31.7029053420806,26.781630740393627,1.5310485785706778,2.5025540354390787,7.04211949955174,43.840620433565945,5.431776130647168,1.683223526043408,1794.316278762273,707,81,15.936655530786876,5.345883521723538,325.2031428800663,80.27129164077479,0.030927835051546393,0.9981255857544518,3,0.6568224774216878,0.662605435801312,1.668843745218063,354.6666666666667
person_19,scripted,34.06233062330623,26.230352303523034,1.4996071910162703,9.205005144621131,6.539737177148753,33.61547262794322,9.57736145941825,4.990500308186268,1836.5041134125468,307,40,2.4207708658624134,3.5969332217725936,11.684057228434828,11.595127408321375,0.12737127371273713,0.943089430894309,3,0.5758562493112975,0.8319783197831978,1.8118557993256756,122.0
person_19,spontaneous,34.233050847457626,28.135593220338983,2.793748494894034,9.142293817327072,6.4701823944019745,36.89173349139343,8.38586217096147,5.399195524454295,1268.8109482467594,164,28,2.620116374021281,3.5248013383629058,10.54056243706227,10.565207579454471,0.1906779661016949,0.9364406779661016,11,0.9272276344903811,0.6949152542372882,1.8168031253459276,20.454545454545453
person_2,scripted,33.6,34.284,1.469912436263169,14.095605285102645,6.346941954561997,32.01562118716424,10.405197685884769,3.9134351264693708,974.4453464908734,197,28,0.6203517332477992,1.4182735727650773,1.68353118392504,0.08027133518462515,0.236,0.788,1,0.8666636614156011,0.788,1.8221313875889886,249.0
person_2,spontaneous,34.90228013029316,24.289902280130292,0.7209933323705975,0.7986890751635668,6.242592797550798,10.770329614269007,8.278037248028397,0.39666796700606666,121.38039790385639,295,0,-0.585859447155626,-0.2971141137349544,3.486792243301516,0.23921801667505926,0.05211726384364821,1.0,1,0.6066908138513257,0.9609120521172638,1.0510018519195699,306.0
person_20,scripted,30.735576923076923,29.514423076923077,1.3281307598935272,3.6507960200642042,6.364442586139513,14.142135623730951,4.180864224287471,0.6047933916485742,502.5833084599651,794,2,-0.06261298627892843,0.02874828686127512,1.3059430149455027,-0.4298343666730604,0.1201923076923077,1.0,1,0.44702258252643784,0.9543269230769231,1.4420044044182767,831.0
person_20,spontaneous,32.300127713920816,29.452107279693486,1.5930114267208446,2.2366266453354897,6.307678501841978,9.486832980505138,3.33252550874606,0.5208948353151018,407.3397612164096,755,0,0.4687954715787713,0.5260496102108062,1.5002436500516252,-0.6351835313869114,0.09067688378033206,1.0,1,0.4920134411821614,0.9642401021711366,1.301016723554649,782.0
person_21,scripted,34.659217877094974,30.3463687150838,5.191143228039586,4.917541425101566,7.014141693670577,44.553338819890925,5.92097021751078,2.1969543345711444,784.3126974418985,252,14,0.5511712685310385,2.5656541866326017,13.270529613395631,16.914681609146584,0.31843575418994413,0.9748603351955307,10,0.42742009765667155,0.7039106145251397,1.998132156523124,34.8
person_21,spontaneous,36.12917594654788,27.044543429844097,11.874201833617768,11.933699762665952,7.017534717096732,41.10960958218893,11.834513608916948,5.081772790499747,2276.634210143887,289,83,1.4503294567556722,-0.7796457033896244,0.9702427714638118,1.362810065255383,0.3184855233853007,0.7015590200445434,47,0.8034999652816099,0.643652561247216,1.9919254210169648,8.553191489361701
person_22,scripted,43.70179948586118,53.53856041131105,6.5623254385775125,14.223955322041204,6.2887489688560425,35.84689665786984,25.509417757872395,6.39738875715602,4970.771064310227,557,180,-0.6925061116749747,-1.0193676270387522,-1.3479457977507407,-0.9251086035251213,0.06683804627249357,0.2686375321336761,151,0.8936972067911444,0.7159383033419023,1.6458541604304515,4.152317880794702
person_22,spontaneous,32.7195945945946,62.270270270270274,2.1068949345300534,0.9259894390395532,5.770314539321625,31.25699921617557,30.352029319641385,0.764640754495673,451.90268590694274,509,5,-0.2408359001803219,-0.5728237329298728,-1.2713635028735293,-1.554387524266658,0.033783783783783786,0.0,1,0.6251718867973824,0.8597972972972973,1.2425174744044019,591.0
